"Node","Cluster","Betweenness","Closeness","PageRank"
"dehaene s","1","55.3440147147735","0.015625","0.0390156094780251"
"friston kj","1","60.3353367280922","0.0153846153846154","0.0283524784200786"
"logothetis nk","1","15.8314853211531","0.0140845070422535","0.0204289793072018"
"clark a","1","16.5575999095198","0.0142857142857143","0.017003886962152"
"kanwisher n","1","21.8010965555472","0.0136986301369863","0.0258348778862571"
"haxby jv","1","16.6072505774356","0.0138888888888889","0.0242618807011726"
"lamme vaf","1","2.61775815580012","0.0120481927710843","0.0195583254802628"
"tononi g","1","8.76799731461805","0.0135135135135135","0.0197949572917924"
"grillspector k","1","4.84142773886764","0.0133333333333333","0.0200548360917272"
"gauthier i","1","4.63527917194097","0.0126582278481013","0.0155551756639374"
"bar m","1","6.50184734785108","0.0133333333333333","0.0175051478456686"
"nieder a","1","0.958751532143318","0.0113636363636364","0.00809146784923919"
"rayner k","1","1.57696450692866","0.0119047619047619","0.00895449895488966"
"zeki s","1","3.22849458919061","0.012987012987013","0.016508601170235"
"rizzolatti g","2","17.036168398579","0.0147058823529412","0.0249489847030785"
"tomasello m","2","5.71706675921638","0.0126582278481013","0.024229290358705"
"baroncohen s","2","0.357003569124951","0.0113636363636364","0.0166922330844389"
"chomsky n","2","4.58206330674621","0.0119047619047619","0.0186903774375436"
"pinker s","2","3.05251975115909","0.0117647058823529","0.0201131832718395"
"adolphs r","2","7.45784296039211","0.0144927536231884","0.0165655118619181"
"damasio ar","2","17.3753887334223","0.0151515151515152","0.017142887503725"
"gallese v","2","1.40142161142479","0.0121951219512195","0.0186673977312303"
"leslie am","2","2.55605881959579","0.0114942528735632","0.0141210603069721"
"hauser md","2","6.31876366033994","0.0123456790123457","0.0162632998453542"
"friederici ad","2","1.28494687798717","0.0121951219512195","0.00780436453758466"
"elman jl","2","2.26090575213283","0.0120481927710843","0.0145226381600728"
"mcclelland jl","3","39.8036152062888","0.0142857142857143","0.0276705643715421"
"buzsaki g","3","9.10532283988318","0.0133333333333333","0.0216789051670744"
"buckner rl","3","23.9041612757599","0.0147058823529412","0.0237312166619293"
"tulving e","3","9.34245937425863","0.0135135135135135","0.0298884669874175"
"rolls et","3","17.7395612005351","0.0142857142857143","0.01824380439508"
"schacter dl","3","12.6186227442096","0.0138888888888889","0.026292223737502"
"squire lr","3","4.58622385160872","0.0128205128205128","0.0330648368919617"
"marr d","3","15.2469403484138","0.0135135135135135","0.0213358585608643"
"ratcliff r","3","1.3802782703789","0.0117647058823529","0.0117899484335786"
"okeefe j","3","2.5527219521841","0.0126582278481013","0.0211745302559682"
"anderson jr","3","4.2395956493327","0.0125","0.0125369217809285"
"eichenbaum h","3","2.59290488588059","0.0126582278481013","0.0284801217118092"
"poldrack ra","3","6.27711943903094","0.0133333333333333","0.0122765880614403"
"suddendorf t","3","2.34392590725667","0.0114942528735632","0.0115998027630014"
"kahneman d","4","28.8517899158734","0.0142857142857143","0.0155855496357267"
"posner mi","4","35.0215273950778","0.0151515151515152","0.0251308365140693"
"miller ek","4","37.4205681991009","0.0147058823529412","0.0312221708607329"
"duncan j","4","12.8234735549788","0.0136986301369863","0.0264026735119855"
"schultz w","4","10.7911256615348","0.0133333333333333","0.0135667120079764"
"corbetta m","4","31.1124567393909","0.0151515151515152","0.0223694797512246"
"baddeley a","4","15.0673829377238","0.0140845070422535","0.018213983052932"
"fries p","4","5.72216791967141","0.0133333333333333","0.0129200067042823"
"fuster jm","4","20.4289951287138","0.0144927536231884","0.0183502213058136"
"desimone r","4","22.0216052389303","0.0149253731343284","0.0257926249700571"
