"Node","Cluster","Betweenness","Closeness","PageRank"
"miller ek 2001","1","230.064436237114","0.00970873786407767","0.0355447078727488"
"desimone r 1995","1","83.4634273258553","0.00892857142857143","0.0399019878071146"
"james w. 1890","1","124.453084130835","0.00943396226415094","0.0172501940032161"
"treisman am 1980","1","166.148466280445","0.00806451612903226","0.0260650497076165"
"botvinick mm 2001","1","53.6330231579817","0.0078125","0.0130822717111242"
"dehaene s 2011","1","41.9981139792458","0.00769230769230769","0.0130867674763229"
"lamme vaf 2000","1","18.8752438717809","0.00694444444444444","0.0217058275957192"
"o'regan jk 2001","1","31.4988928844704","0.00740740740740741","0.0133676009225756"
"cowan n 2001","1","0","0.00584795321637427","0.0211783371543625"
"posner mi 1980","1","12.8955897628884","0.00819672131147541","0.0168116858917313"
"baddeley a. 1986","1","0","0.00549450549450549","0.0103447195340055"
"felleman dj 1991","2","230.716918826988","0.0101010101010101","0.0232660617922221"
"ungerleider l. 1982","2","48.8870323810147","0.00746268656716418","0.0316376213766423"
"mcclelland jl 1995","2","49.5100385951583","0.00813008130081301","0.0158009047765764"
"kanwisher n 1997","2","42.5577442896121","0.008","0.0269656975127456"
"okeefe j 1978","2","0.519399541588757","0.0065359477124183","0.0146098828997808"
"fodor j. 1983","2","47","0.00588235294117647","0.0169444937197707"
"marr d. 1982","2","0","0.00581395348837209","0.00599243926566926"
"scoville wb 1957","2","10.8849541683089","0.00769230769230769","0.0194380505577125"
"elman j.l. 1996","2","0","0.00248756218905473","0.0134597447309866"
"goodale ma 1992","2","3.93630825110321","0.0062111801242236","0.016871043727876"
"haxby jv 2001","2","1.74200855032168","0.00666666666666667","0.0177888758799607"
"saffran jr 1996","2","0","0.0028169014084507","0.00964744844552046"
"goodale m. 1995","2","4.95238095238095","0.00625","0.0143918563782835"
"epstein r 1998","2","66.9290026366782","0.00813008130081301","0.0243724159762082"
"haxby jv 2000","2","1.19277108433735","0.00591715976331361","0.0141458661008828"
"corbetta m 2002","3","225.009140171869","0.00980392156862745","0.0311859516657651"
"raichle me 2001","3","57.2155587039464","0.00862068965517241","0.0355090673449433"
"yeo btt 2011","3","12.4544480202216","0.00840336134453781","0.0287259697287117"
"buckner rl 2008","3","26.7405869197617","0.00854700854700855","0.0286939717872536"
"fox md 2005","3","29.5961902567724","0.00806451612903226","0.0337134097870565"
"logothetis nk 2001","3","5.37545214461439","0.00769230769230769","0.00952319737396613"
"bullmore et 2009","3","0.911049106922108","0.00769230769230769","0.0191528883139767"
"feigenson l 2004","3","0","0.00292397660818713","0.00395352729913311"
"yarkoni t 2011","3","6.65559966208837","0.00826446280991736","0.0194102967539068"
"mason mf 2007","3","25.1794693792872","0.00854700854700855","0.0254736844672553"
"poldrack ra 2006","3","5.30325977635554","0.00617283950617284","0.0129027676653753"
"smith sm 2009","3","4.24700497621652","0.00740740740740741","0.0290571761535094"
"schultz w 1997","4","3.48491185099966","0.00746268656716418","0.0240582988139519"
"sutton rs 1998","4","9.2800250825872","0.00769230769230769","0.0256042514165712"
"friston kj 2010","4","52.6191871527786","0.00892857142857143","0.0327445316182652"
"friston kj 2005","4","60.3198621686745","0.00854700854700855","0.0252074222544029"
"clark a 2013","4","18.4872786342731","0.008","0.024365684967435"
"kahneman d. 2011","4","0","0.00568181818181818","0.00542155523860021"
"rao rpn 1999","4","35.4527160584577","0.00884955752212389","0.0262558069523623"
"daw nd 2005","4","25.7508295327845","0.00813008130081301","0.0167081705801974"
"ernst mo 2002","4","2.06954141987006","0.00657894736842105","0.0119516432950031"
"kahneman d 1979","4","0","0.00662251655629139","0.00959765062354387"
"rizzolatti g 1998","5","10.2383138411839","0.00775193798449612","0.0139937590900367"
"rizzolatti g 2004","5","7.73701139626265","0.00666666666666667","0.0131177639914022"
