"Terms","Frequency"
"brain","109"
"cognitive","73"
"memory","57"
"human","53"
"social","46"
"neural","43"
"response","38"
"perception","33"
"cognition","32"
"cortex","29"
"learning","27"
"visual","26"
"attention","25"
"control","24"
"mind","24"
"network","24"
"consciousness","20"
"language","20"
"mechanisms","20"
"al","19"
"neuroscience","19"
"processing","19"
"comment","18"
"networks","18"
"science","18"
"development","17"
"models","17"
"role","17"
"understanding","16"
"function","15"
"origins","15"
"behavior","14"
"evolution","14"
"model","14"
"systems","14"
"action","13"
"oscillations","13"
"developmental","12"
"functional","12"
"pg","12"
"time","12"
"vol","12"
"computational","11"
"perspective","11"
"temporal","11"
"emotion","10"
"framework","10"
"insights","10"
"mental","10"
"neuroimaging","10"
