"Affiliations","Articles"
"NEWCASTLE UNIV","10"
"OREGON HLTH AND SCI UNIV","10"
"QUEEN MARY UNIV LONDON","10"
"S (CORRESPONDING AUTHOR)","10"
"SIMON FRASER UNIV","10"
"UNIV BARCELONA","10"
"UNIV FLORENCE","10"
"UNIV HLTH NETWORK","10"
"UNIV MISSOURI","10"
"UNIV NEW MEXICO","10"
"UNIV POTSDAM","10"
"UNIV UTAH","10"
"BAR ILAN UNIV","9"
"BASQUE CTR COGNIT BRAIN AND LANGUAGE","9"
"BEN GURION UNIV NEGEV","9"
"ERASMUS UNIV","9"
"LAB SCI COGNIT AND PSYCHOLINGUIST","9"
"NEUROPSYCHOL LAB","9"
"SENSORIMOTOR RES LAB","9"
"STOCKHOLM UNIV","9"
"TILBURG UNIV","9"
"UNIV BREMEN","9"
"UNIV LIBRE BRUXELLES","9"
"UNIV NEVADA","9"
"UNIV PADUA","9"
"UNIV PLYMOUTH","9"
"UNIV TOKYO","9"
"A (CORRESPONDING AUTHOR)","8"
"ARIZONA STATE UNIV","8"
"BIRKBECK UNIV LONDON","8"
"CANISIUS COLL","8"
"CTR RECH CERVEAU AND COGNIT","8"
"EOTVOS LORAND UNIV","8"
"FLORIDA STATE UNIV","8"
"GF (CORRESPONDING AUTHOR)","8"
"J (CORRESPONDING AUTHOR)","8"
"KYOTO UNIV","8"
"M (CORRESPONDING AUTHOR)","8"
"MAASTRICHT UNIV","8"
"PONTIFICIA UNIV CATOLICA CHILE","8"
"PSL RES UNIV","8"
"QUEENS UNIV","8"
"SANTA FE INST","8"
"SERV HOSP FREDERIC JOLIOT","8"
"SWISS FED INST TECHNOL EPFL","8"
"UCL INST NEUROL","8"
"UNIV BERN","8"
"UNIV CALGARY","8"
"UNIV COLOGNE","8"
"UNIV DELAWARE","8"
"UNIV LOUVAIN","8"
"UNIV MUNICH","8"
"UNIV NEUCHATEL","8"
"UNIV REGINA","8"
"UNIV TOULOUSE","8"
"UNIV TRENT","8"
"VET ADM MED CTR","8"
"AUSTRALIAN NATL UNIV","7"
"C (CORRESPONDING AUTHOR)","7"
"CHARITE UNIV MED BERLIN","7"
"COGNIT NEUROSCI SECT","7"
"E (CORRESPONDING AUTHOR)","7"
"GOETHE UNIV FRANKFURT","7"
"ICAHN SCH MED MT SINAI","7"
"IMPERIAL COLL LONDON","7"
"INST COGNIT SCI AND TECHNOL","7"
"LUND UNIV","7"
"MRC COGNIT AND BRAIN SCI UNIT","7"
"MT SINAI SCH MED","7"
"NORWEGIAN UNIV SCI AND TECHNOL","7"
"OTTO VON GUERICKE UNIV","7"
"SO ILLINOIS UNIV","7"
"TEXAS AANDM UNIV","7"
"TRINITY COLL DUBLIN","7"
"UNIV CALIF","7"
"UNIV CALIF RIVERSIDE","7"
"UNIV GOTTINGEN","7"
"UNIV KONSTANZ","7"
"UNIV MILAN","7"
"UNIV MILANO BICOCCA","7"
"UNIV NEWCASTLE","7"
"UNIV OXFORD ALL SOULS COLL","7"
"UNIV READING","7"
"AALTO UNIV","6"
"ALLEN INST BRAIN SCI","6"
"BETH ISRAEL DEACONESS MED CTR","6"
"COLUMBIA UNIV COLL PHYS AND SURG","6"
"DALHOUSIE UNIV","6"
"DALIAN UNIV TECHNOL","6"
"DIV PSYCHOL AND LANGUAGE SCI","6"
"FREE UNIV BRUSSELS","6"
"GEORGE MASON UNIV","6"
"GEORGE WASHINGTON UNIV","6"
"GERMAN PRIMATE CTR","6"
"GRAD CTR","6"
"HELSINKI UNIV TECHNOL","6"
"INST HEARING RES","6"
"NEUROSCI AND BEHAV LAB","6"
"OBERLIN COLL","6"
"PEKING UNIV","6"
"RUTGERS CTR COGNIT SCI","6"
"SCH PSYCHOL","6"
"SCHULZ","6"
"TECHNION ISRAEL INST TECHNOL","6"
"TEXAS TECH UNIV","6"
"UNIV ADELAIDE","6"
"UNIV BERGEN","6"
"UNIV BOLOGNA","6"
"UNIV COLL LONDON","6"
"UNIV ESSEX","6"
"UNIV HAIFA","6"
"UNIV HONG KONG","6"
"UNIV ICELAND","6"
"UNIV LEUVEN KU LEUVEN","6"
"UNIV LIVERPOOL","6"
"UNIV LONDON GOLDSMITHS COLL","6"
"UNIV NEBRASKA","6"
"UNIV ROMA LA SAPIENZA","6"
"UPPSALA UNIV","6"
"VICTORIA UNIV WELLINGTON","6"
"WASHINGTON STATE UNIV","6"
"WAYNE STATE UNIV","6"
"YALE SCH MED","6"
"BARROW NEUROL INST","5"
"BASQUE FDN SCI","5"
"CHINESE UNIV HONG KONG","5"
"COGNIT PERCEPTUAL AND BRAIN SCI RES DEPT","5"
"CONCORDIA UNIV","5"
"DEPT ELECT ENGN AND COMP SCI","5"
"GRIFFITH UNIV","5"
"HOWARD HUGHES MED INST","5"
"LAB PSYCHOL COGNIT","5"
"MAX PLANCK UNIV COLL LONDON CTR COMPUTAT PSYCHIAT","5"
"NATL UNIV SINGAPORE","5"
"NEUROL INST","5"
"NEUROSCI LAB","5"
"OSAKA UNIV","5"
"PICOWER INST LEARNING AND MEMORY","5"
"SAN DIEGO STATE UNIV","5"
"UNIV BOURGOGNE","5"
"UNIV CONNECTICUT","5"
"UNIV FLORIDA","5"
"UNIV FRANKFURT","5"
"UNIV FREIBURG","5"
"UNIV LEUVEN","5"
"UNIV NIJMEGEN ST RADBOUD HOSP","5"
"UNIV PORTSMOUTH","5"
"UNIV SURREY","5"
"UNIV TRIER","5"
"UNIV TURIN","5"
"UNIV ULM","5"
"UNIV VIENNA","5"
"AMHERST COLL","4"
"BANGOR UNIV","4"
"BERNSTEIN CTR COMPUTAT NEUROSCI","4"
"BERNSTEIN CTR COMPUTAT NEUROSCI BERLIN","4"
"BRAIN MIND INST","4"
"BUFACCHI","4"
"CANADIAN INST ADV RES CIFAR","4"
"CHAMPALIMAUD CTR UNKNOWN","4"
"CHAPMAN UNIV","4"
"CHINESE INST BRAIN RES","4"
"COGNIT AND BEHAV NEUROSCI UNIT","4"
"CTR BEHAV BRAIN SCI","4"
"CTR NEUROSCI","4"
"DIV HUMANITIES AND SOCIAL SCI AND COMPUTAT AND NEURAL S","4"
"FISCHER","4"
"FORSCHUNGSZENTRUM JULICH","4"
"FRANKLIN AND MARSHALL COLL","4"
"FURMAN UNIV","4"
"G (CORRESPONDING AUTHOR)","4"
"GEORGIA STATE UNIV","4"
"GERMAN CTR NEURODEGENERAT DIS DZNE","4"
"GOLDSMITHS UNIV LONDON","4"
"GUANGXI TEACHERS EDUC UNIV","4"
"HANSE INST ADV STUDY","4"
"HEIDELBERG UNIV","4"
"HERIOT WATT UNIV","4"
"HORSCHLER","4"
"INST ADV STUDY IUSS PAVIA","4"
"INST NATL SANTE AND RECH MED","4"
"INST PASTEUR","4"
"INT COMP SCI INST","4"
"L (CORRESPONDING AUTHOR)","4"
"LAB NEUROPSYCHOL","4"
"LANGONE MED SCH","4"
"LEEDS METROPOLITAN UNIV","4"
"LONDON SCH ECON AND POLIT SCI","4"
"LOYOLA UNIV","4"
"MAX PLANCK INST EMPIR AESTHET","4"
"MED UNIV LUBECK","4"
"MEDIA LAB","4"
"MILLS COLL","4"
"MONTCLAIR STATE UNIV","4"
"NA","4"
"NEW MEXICO STATE UNIV","4"
"NEW SCH SOCIAL RES","4"
"NEW YORK STATE PSYCHIAT INST AND HOSP","4"
"NEW YORK UNIV","4"
"NEW YORK UNIV ABU DHABI","4"
"NO ILLINOIS UNIV","4"
"OSLO UNIV HOSP","4"
"OXFORD BROOKES UNIV","4"
"OXFORD CTR COMPUTAT NEUROSCI","4"
"PRINCETON NEUROSCI INST","4"
"QUEEN SQ INST NEUROL","4"
"R (CORRESPONDING AUTHOR)","4"
"RADBOUD UNIV","4"
"REED COLL","4"
"RES CTR JULICH","4"
"RICE UNIV","4"
"ROYAL HOLLOWAY UNIV LONDON","4"
"SCH MED","4"
"SCHIRMER","4"
"SCHROEDER","4"
"SLOAN SCH MANAGEMENT","4"
"SOUTH CHINA NORMAL UNIV","4"
"SUNY BINGHAMTON","4"
"SUNY HLTH SCI CTR","4"
"SWISS FED INST TECHNOL","4"
"TRENDS COGNIT SCI","4"
"UCL INST COGNIT NEUROSCI","4"
"UCLA BRAIN RES INST","4"
"UNIV AARHUS","4"
"UNIV AUTONOMA BARCELONA","4"
"UNIV BASQUE COUNTRY","4"
"UNIV BORDEAUX SEGALEN","4"
"UNIV CALIF LOS ANGELES UCLA","4"
"UNIV CALIF MERCED","4"
"UNIV CLIN HAMBURG EPPENDORF UKE","4"
"UNIV COLL DUBLIN","4"
"UNIV COPENHAGEN","4"
"UNIV DUNDEE","4"
"UNIV EAST ANGLIA","4"
"UNIV HOSP GENEVA","4"
"UNIV HOUSTON","4"
"UNIV KEELE","4"
"UNIV KENT","4"
"UNIV LORRAINE","4"
"UNIV LUBECK","4"
"UNIV MARYLAND BALTIMORE CTY","4"
"UNIV MED CTR UTRECHT","4"
"UNIV NEW SOUTH WALES","4"
"UNIV PARIS SACLAY","4"
"UNIV PAVIA","4"
"UNIV PISA","4"
"UNIV S AUSTRALIA","4"
"UNIV TWENTE","4"
"UNIV ULSTER","4"
"UNIV VICTORIA","4"
"UNIV WURZBURG","4"
"VERSCHURE","4"
"VRIJE UNIV BRUSSEL","4"
"WARNEFORD HOSP","4"
"WARWICK BUSINESS SCH","4"
"WEILL CORNELL MED COLL","4"
"WELLCOME DEPT IMAGING NEUROSCI","4"
"WELLESLEY COLL","4"
"WOLVERHAMPTON UNIV","4"
"ZHEJIANG UNIV","4"
"ADV TELECOMMUN RES INST INT","3"
"ANTWERP UNIV","3"
"BC (CORRESPONDING AUTHOR)","3"
"BRAIN AND COGNIT SCI DEPT","3"
"BRAIN SCI INST","3"
"CARL VON OSSIETZKY UNIV OLDENBURG","3"
"CASE WESTERN RESERVE UNIV","3"
"CENT EUROPEAN UNIV","3"
"CHILD MIND INST","3"
"COLD SPRING HARBOR LAB","3"
"CTR NEUROSCI COGNIT","3"
"DE MONTFORT UNIV","3"
"DEPT CLIN NEUROSCI","3"
"DEPT COLLECT BEHAV","3"
"DEPT COMP SCI","3"
"DEPT NEUROSCI","3"
"FLOREY INST NEUROSCI AND MENTAL HLTH","3"
"FMRIB CTR","3"
"FRANKFURT INST ADV STUDIES","3"
"GRP HOSP PITIE SALPETRIERE","3"
"HEINRICH HEINE UNIV DUSSELDORF","3"
"HUNGARIAN ACAD SCI","3"
"IKERBASQUE BASQUE FDN SCI","3"
"IMPERIAL COLL SCH MED","3"
"INST BIOIMAGING","3"
"INST DATA SYST AND SOC","3"
"INST ETUD COGNIT","3"
"INST MED","3"
"INST VIS","3"
"JAPAN SCI AND TECHNOL AGCY","3"
"JB (CORRESPONDING AUTHOR)","3"
"KOBE UNIV","3"
"LANDER COLL","3"
"LANGONE SCH MED","3"
"LONDON SCH ECON","3"
"MARTINOS CTR BIOMED IMAGING","3"
"MED COLL WISCONSIN","3"
"MED UNIV S CAROLINA","3"
"MILAN CTR NEUROSCI","3"
"NATL INST DRUG ABUSE","3"
"NETHERLANDS OPHTHALM RES INST","3"
"NOTTINGHAM TRENT UNIV","3"
"OLSCHEFSKIE INST NEUROBIOL KNOWLEDGE","3"
