"Affiliations","Articles"
"SCHACTER","2"
"SCHERER","2"
"SCHILBACH","2"
"SCHLENKER","2"
"SCHMID","2"
"SCHONBERG","2"
"SCHWARTZ","2"
"SCHWARZ","2"
"SCI BASED INNOVAT LEARNING CTR SILC","2"
"SCIMECA","2"
"SCUOLA INT SUPER STUDI AVANZATI","2"
"SEALCTR PIETERBUREN","2"
"SECT BIPOLAR SPECTRUM DISORDERS","2"
"SECT DEV AND AFFECT NEUROSCI","2"
"SEOUL NATL UNIV","2"
"SETTORE NEUROSCI COGNIT","2"
"SHANGHAI JIAO TONG UNIV","2"
"SOCIAL PERCEPT AND EVALUAT LAB","2"
"SONY COMP SCI LAB","2"
"SOUTHERN METHODIST UNIV","2"
"ST HEDWIG HOSP","2"
"STARESINA","2"
"STATE UNIV GHENT","2"
"SUNY STONY BROOK","2"
"SWARTHMORE COLL","2"
"SWEDISH COLL ADV STUDY","2"
"SYRACUSE UNIV","2"
"T (CORRESPONDING AUTHOR)","2"
"TAIPEI MED UNIV","2"
"TAMAGAWA UNIV","2"
"TECH UNIV DRESDEN","2"
"TRENTO UNIV","2"
"TRONDHEIM REG AND UNIV HOSP","2"
"TSINGHUA UNIV","2"
"TULANE UNIV","2"
"U (CORRESPONDING AUTHOR)","2"
"ULM UNIV","2"
"UNIV AALBORG","2"
"UNIV AKRON","2"
"UNIV ALABAMA","2"
"UNIV ALLAHABAD","2"
"UNIV BARI ALDO MORO","2"
"UNIV BASQUE COUNTRY UPV EHU","2"
"UNIV BLAISE PASCAL","2"
"UNIV CAEN","2"
"UNIV CAMBRIDGE DARWIN COLL","2"
"UNIV CANTERBURY","2"
"UNIV CAPE TOWN","2"
"UNIV CARDIFF","2"
"UNIV CHICAGO MED","2"
"UNIV CHINESE ACAD SCI","2"
"UNIV COIMBRA","2"
"UNIV DENVER","2"
"UNIV DUSSELDORF","2"
"UNIV EAST LONDON","2"
"UNIV ERLANGEN NURNBERG","2"
"UNIV FED RIO DE JANEIRO","2"
"UNIV GEORGIA","2"
"UNIV GIESSEN","2"
"UNIV GREENWICH","2"
"UNIV HAWAII","2"
"UNIV HOSP JENA","2"
"UNIV HOSP LIEGE","2"
"UNIV HOSP VAUD CHUV","2"
"UNIV IOWA HOSP AND CLIN","2"
"UNIV JENA","2"
"UNIV LA LAGUNA","2"
"UNIV LANCASTER","2"
"UNIV LAVAL","2"
"UNIV LETHBRIDGE","2"
"UNIV LOUISIANA","2"
"UNIV LOUISVILLE","2"
"UNIV MANNHEIM","2"
"UNIV MED CTR","2"
"UNIV MED GOETTINGEN","2"
"UNIV MED MAINZ","2"
"UNIV NEW BRUNSWICK","2"
"UNIV NEW ENGLAND","2"
"UNIV NEW HAMPSHIRE","2"
"UNIV NOTRE DAME","2"
"UNIV OKLAHOMA","2"
"UNIV OTAGO","2"
"UNIV PAISLEY","2"
"UNIV PARIS SUD","2"
"UNIV PROVENCE","2"
"UNIV PSL PARIS SCI AND LETTRES","2"
"UNIV ROME LA SAPIENZA","2"
"UNIV S FLORIDA","2"
"UNIV SIENA","2"
"UNIV SOUTH AUSTRALIA","2"
"UNIV SOUTHERN CALIF","2"
"UNIV SOUTHERN DENMARK","2"
"UNIV STRATHCLYDE","2"
"UNIV SUNDERLAND","2"
"UNIV TAMPERE","2"
"UNIV TEXAS SOUTHWESTERN MED CTR DALLAS","2"
"UNIV TOLEDO","2"
"UNIV TORONTO SCARBOROUGH","2"
"UNIV TOULOUSE CAPITOLE","2"
"UNIV TULSA","2"
"UNIV UDINE","2"
"UNIV VERONA","2"
"UNIV VET MED","2"
"UNIV VIRGINIA HLTH SYST","2"
"UNIV VITA SALUTE SAN RAFFAELE","2"
"UNIV WALES COLL CARDIFF","2"
"UNIV WESTERN SYDNEY MACARTHUR","2"
"UNIV WINCHESTER","2"
"UNIVERSITY PK","2"
"USAF ACAD","2"
"USC MARSHALL SCH BUSINESS","2"
"VIRGINIA COMMONWEALTH UNIV","2"
"VIRGINIA TECH","2"
"VIRGINIA TECH CARILION RES INST","2"
"VITA SALUTE SAN RAFFELE UNIV","2"
"W VIRGINIA SCH MED","2"
"W VIRGINIA UNIV","2"
"WALTER REED ARMY MED CTR","2"
"WASHINGTON NATL PRIMATE RES CTR","2"
"WASHINGTON UNIV ST LOUIS","2"
"WELLCOME CTR NEUROIMAGING","2"
"WOLFSON INST BIOMED RES","2"
"ACAD DISCOVERY PERFORMANCE UNIT","1"
"ADDENBROOKES CTR CLIN INVEST","1"
"ADELAIDE AND MEATH NATL CHILDRENS HOSP","1"
"AGING AND COGNIT RES GRP","1"
"AJ (CORRESPONDING AUTHOR)","1"
"ALBERT EINSTEIN COLL MED","1"
"ALMADEN RES CTR","1"
"AM (CORRESPONDING AUTHOR)","1"
"AMSTERDAM BRAIN AND COGNIT CTR","1"
"AP (CORRESPONDING AUTHOR)","1"
"ARAR DIP NEUROSCI","1"
"ARCHY O.","1"
"ATR HUMAN INFORMAT PROC LAB","1"
"ATR HUMAN INFORMAT PROC RES LABS","1"
"AUSTRALIAN CATHOLIC UNIV","1"
"AW (CORRESPONDING AUTHOR)","1"
"B (CORRESPONDING AUTHOR)","1"
"BARCH","1"
"BERLIN INST HLTH","1"
"BETHEL UNIV","1"
"BIOROBOT INST","1"
"BORNKESSEL-SCHLESEWSKY","1"
"BOSCH","1"
"BOWDOIN COLL","1"
"BOWLING GREEN STATE UNIV","1"
"BRAIN RES INST","1"
"BRIGHAM YOUNG UNIV","1"
"BROCK UNIV","1"
"BROOKHAVEN NATL LAB","1"
"BROOKINGS INST","1"
"BROOKLYN COLL","1"
"BRYN MAWR COLL","1"
"BUCKINGHAMSHIRE CTY COUNCIL","1"
"BYJ (CORRESPONDING AUTHOR)","1"
"CA (CORRESPONDING AUTHOR)","1"
"CAMBRIDGE MRC CTR BRAIN REPAIR","1"
"CAMPBELL FAMILY RES INST","1"
"CANADIAN INST ADV RES","1"
"CARILION RES INST","1"
"CARNEGIE MELLON NEUROSCI INST","1"
"CATHOLIC UNIV LOUVAIN","1"
"CATHOLIC UNIV NIJMEGEN","1"
"CE (CORRESPONDING AUTHOR)","1"
"CH (CORRESPONDING AUTHOR)","1"
"CHAMPALIMAUD RES","1"
"CHILDRENS HOSP","1"
"CHUKYO UNIV","1"
"CLAREMONT GRAD UNIV","1"
"CLAREMONT MCKENNA COLL","1"
"CLIN BRAIN DISORDERS BRANCH","1"
"CNRS CELPHEDIA","1"
"CNRS LENA","1"
"COLLINS","1"
"COLLSIOO","1"
"COLORADO DEPT PUBL HLTH AND ENVIRONM","1"
"COMP SCI AND ARTIFICIAL INTELLIGENCE LAB CSAIL","1"
"CONFLICT RES CTR","1"
"CORNILLEAU-PERES","1"
"COURANT INST MATH SCI","1"
"CTR ADV RES SLEEP MED","1"
"CTR ADV STUDY BEHAV SCI","1"
"CTR AUTISM RES","1"
"CTR BIOETH","1"
"CTR BIOMED IMAGING CIBM","1"
"CTR ECON LEARNING AND SOCIAL EVOLUT","1"
"CTR ETUD SOMMEIL AND RYTHMES BIOL","1"
"CTR EXCELLENCE STRESS AND MENTAL HLTH","1"
"CTR INVEST BIOMED RED BIOINGN BIOMAT AND NANOMED","1"
"CTR LEARNING AND MEMORY","1"
"CTR MIND BRAIN AND COMPUTAT","1"
"CTR NEUROCOGNIT RES","1"
"CTR S GIOVANNI DIO FATEBENEFRATELLI","1"
"CTR TRANSLAT BIOETH AND HLTH CARE POLICY","1"
"CTR WISKUNDE AND INFORMAT","1"
"CUNY BERNARD M BARUCH COLL","1"
"CUNY CITY COLL","1"
"DA (CORRESPONDING AUTHOR)","1"
"DARMSTADT UNIV APPL SCI","1"
"DC (CORRESPONDING AUTHOR)","1"
"DEAFNESS COGNIT AND LANGUAGE RES CTR","1"
"DEEPMIND TECHNOL","1"
"DEPT COMP MATH SCI","1"
"DEPT GENET EVOLUT AND ENVIRONM","1"
"DEPT NEUROL AND NEUROSCI","1"
"DEPT QUANTITAT HLTH SCI","1"
"DF","1"
"DIV HLTH SCI AND TECHNOL","1"
"DR (CORRESPONDING AUTHOR)","1"
"DREXEL UNIV","1"
"DUKE NATL UNIV SINGAPORE","1"
"EA (CORRESPONDING AUTHOR)","1"
"EAST CHINA NORMAL UNIV","1"
"ECOLE HAUTES ETUD SCI SOCIALES","1"
"ECOLE POLYTECH FED LAUSANNE","1"
"EDMOND AND LILY SAFRA INT INST NEUROSCI NATAL","1"
"ENSTA PARISTECH","1"
"ERNST STRUENGMANN INST NEUROSCI COOPERAT","1"
"ERNST STRUENGMANN INST NEUROSCIENCE COOPERAT MAX","1"
"ERNST STRUNGMANN INST ESI NEUROSCI","1"
"ERSCHE","1"
"ESI NEUROSCI","1"
"ESSEN UNIV HOSP","1"
"EUROPEAN UNIV INST","1"
"F (CORRESPONDING AUTHOR)","1"
"FLORIDA INT UNIV","1"
"FREELANCE SCI WRITER","1"
"FRIEDRICH SCHILLER UNIV JENA","1"
"FULBOURN HOSP","1"
"GARVAN INST MED RES","1"
"GEISINGER COMMONWEALTH SCH MED","1"
"GEORGETOWN INST COGNIT AND COMPUTAT SCI","1"
"GEORGETOWN UNIV LAW CTR","1"
"GEORGETOWN UNIV MED CTR","1"
"GEORGIA GWINNETT COLL","1"
"GERMAN CTR NEURODEGENERAT DIS","1"
"GG (CORRESPONDING AUTHOR)","1"
"GKT SCH MED","1"
"GL (CORRESPONDING AUTHOR)","1"
"GOETHE UNIV","1"
"GOETSCHALCKX","1"
"GRAZ UNIV","1"
"GS (CORRESPONDING AUTHOR)","1"
"HAMPSHIRE COLL","1"
"HARESIGN","1"
"HAUKELAND HOSP","1"
"HIGH TECH CAMPUS","1"
"HOWARD HUGHES MED INST HHMI","1"
"HRUSCHKA","1"
"HUMAN TECHNOL RES INST","1"
"HUMBOLDT STATE UNIV","1"
"IMAGING CTR","1"
"INDIAN INST SCI","1"
"INSERM","1"
"INST BIOENGN","1"
"INST BIOMED ENGN","1"
"INST CATHOLIQUE LILLE","1"
"INST COGNIT AND EVOLUTIONARY ANTHROPOL","1"
"INST COGNIT NEUROSCI AND PSYCHOL","1"
"INST EXPT MED","1"
"INST MED ESTUDIOS AVANZADOS","1"
"INST MOL BIOIMAGING AND PHYSIOL","1"
"INST MOL BIOL AND BIOTECHNOL IMBB","1"
"INST NEUROSCI TIMONE","1"
"INST OPHTHALMOL","1"
"INST PHILOSOPHY","1"
"INST ROBOT AND INTELLIGENT SYST","1"
"INST SCI COGNIT","1"
"INST SEMICOND","1"
"INST UNIV GERIATRIE MONTREAL","1"
"INST UNIV STUDI SUPERIORI","1"
"INT INST INFORMAT TECHNOL IIIT HYDERABAD","1"
"INT JACOBS UNIV BREMEN","1"
"INT SCH ADV STUDIES SISSA","1"
"INTERUNIV MICROELECT CTR IMEC","1"
"INTRAMURAL RES PROGRAM","1"
"IRCCS FDN SANTA LUCIA","1"
"IRCCS SAN CAMILLO HOSP","1"
"IRCCS SANTA LUCIA FDN","1"
"ITALIAN INST TECHNOL ROBOT","1"
"JA (CORRESPONDING AUTHOR)","1"
"JACOBS UNIV BREMEN","1"
"JAMES COOK UNIV N QUEENSLAND","1"
"JANA SCHAICH","1"
"JC (CORRESPONDING AUTHOR)","1"
"JJ (CORRESPONDING AUTHOR)","1"
"JMD (CORRESPONDING AUTHOR)","1"
"JOHNS HOPKINS SCH MED","1"
"JS (CORRESPONDING AUTHOR)","1"
"K (CORRESPONDING AUTHOR)","1"
"KE (CORRESPONDING AUTHOR)","1"
"KENT STATE UNIV","1"
"KERESZTES","1"
"KJ (CORRESPONDING AUTHOR)","1"
"KLEINSCHMIDT","1"
"KOC UNIV","1"
"KOELSCH","1"
"KP (CORRESPONDING AUTHOR)","1"
"KR (CORRESPONDING AUTHOR)","1"
"KUOPIO UNIV HOSP","1"
"LAB INFORMAT SYNTH","1"
"LAB INTEGRAT NEUROSCI","1"
"LAB PHYSIOPATHOL MALAD PSYCHIAT","1"
"LADY DAVIS INST MED RES","1"
"LAGUARDIA COMMUNITY COLL","1"
"LANGAGE CERVEAU AND COGNIT","1"
"LAWRENCE UNIV","1"
"LIEBER INST BRAIN DEV","1"
"LUCIDITY INST","1"
"LYON NEUROSCI RES CTR","1"
"MACGUARIE UNIV","1"
"MAHIDOL UNIV","1"
"MARINE WORLD FDN","1"
"MATH POLICY RES","1"
"MAX PLANCK CTR COMPUTAT PSYCHIAT AND AGEING","1"
"MAX PLANCK FLORIDA INST NEUROSCI","1"
"MAX PLANCK INST COGNIT AND BRAIN SCI","1"
"MAX PLANCK INST MATH SCI","1"
"MAX PLANCK INST ORNITHOL","1"
"MAX PLANCK UCL CTR COMPUTAT PSYCHIAT AND AGEING RES","1"
"MAX PLANCK UNIV COLL LONDON","1"
"MCGOVERN INSITUTE BRAIN RES","1"
"MCGOVERN INST","1"
"MCLEAN HOSP","1"
"ME (CORRESPONDING AUTHOR)","1"
"MED UNIV GDANSK","1"
"MED UNIV SOUTH CAROLINA","1"
"MEG LAB","1"
"MEMORY DISORDERS RES CTR","1"
"META RES INNOVAT CTR STANFORD METRICS","1"
"MIDDLE EAST TECH UNIV","1"
"MINERVA SCH","1"
"MJ (CORRESPONDING AUTHOR)","1"
"MOL BIOL LAB","1"
"MONTREAL NEUROL INST","1"
"MOREHEAD STATE UNIV","1"
"MT SINAI WEST HOSP","1"
"MTA ELTE COMPARAT ETHOL RES GRP","1"
"NAGOYA UNIV","1"
"NANYANG TECHNOL UNIV","1"
"NATL INST ADV IND SCI AND TECHNOL","1"
"NATL POLYTECH INST","1"
"NATL UNIV IRELAND UNIV COLL CORK","1"
"NAVAL HLTH RES CTR","1"
"ND (CORRESPONDING AUTHOR)","1"
"NETHERLANDS INST NEUROSCI NIN KNAW","1"
"NEUENSCHWANDER","1"
"NEUROIMAGING RES VET CTR NERVE","1"
"NEUROL CLIN","1"
"NEUROL HOSP PIERRE WERTHEIMER","1"
"NEUROSCI RES CTR LYON CRNL","1"
"NEUROSPIN CTR","1"
"NEW YORK CONSORTIUM EVOLUTIONARY PRIMATOL NYCEP","1"
"NEW YORK UNIV SHANGHAI","1"
"NICOLLE K.","1"
"NISSAN CAMBRIDGE BASIC RES","1"
"NK (CORRESPONDING AUTHOR)","1"
"NORMAL UNIV","1"
"NORMES","1"
"NW INST COMPLEX SYST","1"
"NW MED SCH","1"
"NY (CORRESPONDING AUTHOR)","1"
"NYU SCH MED","1"
"OFF CLIN DIRECTOR","1"
"OXFORD HLTH FDN TRUST","1"
"P (CORRESPONDING AUTHOR)","1"
"PACE-SCHOTT","1"
"PARIS DESCARTES UNIV","1"
"PARIS SCI AND LETTRES PSL UNIV","1"
"PERINATOL RES BRANCH","1"
"PHILIPS RES","1"
"POMONA COLL","1"
"PONGO FDN","1"
"POOLE HOSP","1"
"PRIME RES SOLUT","1"
"PROVIDENCE VET AFFAIRS MED CTR","1"
"PSYCHOL HSCH BERLIN","1"
"QUEENS UNIV BELFAST","1"
"RC (CORRESPONDING AUTHOR)","1"
"RENAULT TECHNOCTR","1"
"RES AND TECHNOL","1"
"RES CTR","1"
"RES INST PARTICLE AND NUCL PHYS","1"
"RES PRIOR PROGRAM BRAIN AND COGNIT","1"
"RJ (CORRESPONDING AUTHOR)","1"
"RJR (CORRESPONDING AUTHOR)","1"
"RM (CORRESPONDING AUTHOR)","1"
"ROCHESTER INST TECHNOL","1"
"ROYAL ACAD MUS AARHUS AALBORG","1"
"ROYAL DUTCH ACAD SCI","1"
"ROYAL PRINCE ALFRED HOSP","1"
"S LUCIA FDN","1"
"SANTA LUCIA FDN","1"
"SAPIENZA UNIV","1"
"SCH ELECT AND COMP ENGN","1"
"SCH SOCIAL SCI HUMANITIES AND ARTS","1"
"SCHAAFSMA","1"
"SCHADE","1"
"SCHEINOST","1"
"SCHIFF","1"
"SCHLAGGAR","1"
"SCHLESEWSKY","1"
"SCHLOTTMANN","1"
"SCHMACK","1"
"SCHMAHMANN","1"
"SCHMAJUK","1"
"SCHMIDT","1"
"SCHNELL","1"
"SCHOELKOPF","1"
"SCHUBOTZ","1"
"SCHULTZ","1"
"SCHUTZ-BOSBACH","1"
"SCHWABE","1"
"SCHWADE","1"
"SCHWADER","1"
"SCHWARTZE","1"
"SCHWETLICK","1"
"SCHWIEDRZIK","1"
"SCHYNS","1"
"SCI INST STELLA MANS","1"
"SCUOLA SUPER SANT ANNA","1"
"SECT BEHAV SCI AND GENET","1"
"SEMMELWEIS UNIV","1"
"SERV HOSP UNIV","1"
"SERVAN-SCHREIBER","1"
"SIERRA PACIFIC MENTAL ILLNESS RES EDUC AND CLIN CTR","1"
"SIMONS COMPUTAT NEUROSCI IMBIZO","1"
"SINGHLTH RES FACIL","1"
"SK (CORRESPONDING AUTHOR)","1"
"SKOTTUN RES","1"
"SM (CORRESPONDING AUTHOR)","1"
"SMITHSONIAN TROP RES INST","1"
"SOBELL DEPT MOTOR NEUROSCI","1"
"SORBONNE UNIV PARIS DESCARTES","1"
"SP (CORRESPONDING AUTHOR)","1"
"SRI CHITRA TIRUNAL INST MED SCI AND TECHNOL","1"
"ST JAMES UNIV HOSP","1"
"STEELE INST HLTH INNOVAT","1"
"STERN SCH BUSINESS","1"
"SUNY BUFFALO","1"
"SUNY DOWNSTATE MED CTR","1"
"SUSSEX PARTNERSHIP NATL HLTH SERV NHS FDN TRUST","1"
"SWINBURNE UNIV TECHNOL","1"
"SWISS EPILEPSY CTR","1"
"TASCHEREAU-DUMOUCHEL","1"
"TB (CORRESPONDING AUTHOR)","1"
"TE (CORRESPONDING AUTHOR)","1"
"TECH UNIV BERLIN","1"
"TECH UNIV DARMSTADT","1"
"TEMERTY CTR THERAPEUT BRAIN INTERVENT","1"
"TERESA","1"
"TF (CORRESPONDING AUTHOR)","1"
"THERESA M.","1"
"TOHOKU UNIV","1"
"TOKYO MED AND DENT UNIV","1"
"TOR VERGATA UNIV","1"
"TURKU UNIV HOSP","1"
"UCL ROYAL FREE AND UNIV COLL MED SCH","1"
"UNI ULB NEUROSCI INST","1"
"UNIFORMED SERV UNIV HLTH SCI","1"
"UNIV AIR","1"
"UNIV AIX MARSEILLE","1"
"UNIV ALBERTA","1"
"UNIV AUTONOMA MADRID","1"
"UNIV BRESCIA","1"
"UNIV BRIGHTON","1"
"UNIV BRUSSELS","1"
"UNIV BUENOS AIRES","1"
"UNIV CAEN BASSE NORMANDIE","1"
"UNIV CASTILLA LA MANCHA","1"
"UNIV CENT FLORIDA","1"
"UNIV CHILDRENS HOSP ZURICH","1"
"UNIV CLERMONT AUVERGNE","1"
"UNIV EASTERN FINLAND","1"
"UNIV EOTVOS","1"
"UNIV FED RIO GRANDE DO NORTE","1"
"UNIV FERRARA","1"
"UNIV FRANCHE COMTE","1"
"UNIV HOSP BERLIN","1"
"UNIV HYDERABAD","1"
"UNIV IUAV","1"
"UNIV JOHANNESBURG","1"
"UNIV KENTUCKY","1"
"UNIV LAUSANNE","1"
"UNIV LEIPZIG","1"
"UNIV LISBON","1"
"UNIV LONDON UNIV COLL","1"
"UNIV MAASTRICHT","1"
"UNIV MED AND DENT NEW JERSEY","1"
"UNIV MED CTR EPPENDORF","1"
"UNIV MED CTR HAMBURG EPPENDORF UKE","1"
"UNIV N TEXAS","1"
"UNIV NATAL","1"
"UNIV OSNABRUCK","1"
"UNIV OXFORD MAGDALEN COLL","1"
"UNIV PARIS","1"
"UNIV PARIS DIDEROT","1"
"UNIV PASSAU","1"
"UNIV PK","1"
"UNIV POITIERS","1"
"UNIV RICHMOND","1"
"UNIV SALAMANCA","1"
"UNIV TEXAS HLTH SCI CTR SAN ANTONIO","1"
"UNIV TURKU","1"
"UNIV VALLADOLID","1"
"UNIV W FLORIDA","1"
"UNIV WEST ENGLAND","1"
"UNIV WESTERN SYDNEY","1"
"UNIV WISCONSIN MADISON","1"
"UNIV WROCLAW","1"
"VA SAN DIEGO HEALTHCARE SYST","1"
"VAN SCHAIK","1"
"VD (CORRESPONDING AUTHOR)","1"
"VENETIAN INST MOL MED VIMM","1"
"VET ADM ANN ARBOR HLTH CTR","1"
"VET AFFAIRS HEALTHCARE SYST","1"
"VET AFFAIRS SAN DIEGO HEALTHCARE SYST","1"
"VET AFFAIRS VA NATL CTR POSTTRAUMAT STRESS DISORD","1"
"VISUAL PERCEPT LAB","1"
"W (CORRESPONDING AUTHOR)","1"
"WAKE FOREST UNIV","1"
"WASHINGTON AND JEFFERSON COLL","1"
"WATSON SCH BIOL SCI","1"
"WEILL MED COLL","1"
"WELLCOME TRUST CTR NEUROIMAGING UCL","1"
"WERNER REICHARDT CTR INTEGRAT NEUROSCI","1"
"WORCESTER COLL HIGHER EDUC","1"
"YALE NEW HAVEN MED CTR","1"
"YESHIVA UNIV","1"
"ZP (CORRESPONDING AUTHOR)","1"
