"Terms","Frequency"
"cognitive","69"
"brain","63"
"visual","52"
"language","47"
"learning","46"
"memory","46"
"human","44"
"cognition","41"
"response","41"
"perception","39"
"neural","38"
"reply","34"
"mind","33"
"cortex","26"
"action","23"
"models","20"
"processing","20"
"consciousness","19"
"recognition","19"
"theory","19"
"motion","18"
"science","18"
"attention","17"
"development","17"
"conscious","16"
"evolution","16"
"object","16"
"role","16"
"vision","16"
"functional","15"
"control","14"
"imaging","14"
"processes","14"
"spatial","14"
"speech","14"
"function","13"
"mental","13"
"temporal","13"
"computational","12"
"episodic","12"
"minds","12"
"perspective","12"
"representation","12"
"semantic","12"
"knowledge","11"
"psychology","11"
"cortical","10"
"fmri","10"
"intelligence","10"
"reasoning","10"
