paperId,citationCount,influentialCitationCount,doi,authorId,name,paperCount,citationCount,hIndex
9ce6872a6be43cfd91e19a0cd9af127939dba513,1,0,10.1016/j.tics.2021.04.005,3625446,C. Unkelbach,142.0,3846.0,35.0
9ce6872a6be43cfd91e19a0cd9af127939dba513,1,0,10.1016/j.tics.2021.04.005,6895337,Alex Koch,41.0,882.0,16.0
9ce6872a6be43cfd91e19a0cd9af127939dba513,1,0,10.1016/j.tics.2021.04.005,144924869,Hans Alves,34.0,559.0,12.0
e9d75b8c58f3d152397671096f6807c63e0b71f5,10,0,10.1016/j.tics.2021.01.004,5962700,M. Mormann,14.0,551.0,7.0
e9d75b8c58f3d152397671096f6807c63e0b71f5,10,0,10.1016/j.tics.2021.01.004,144092991,J. E. Russo,85.0,7582.0,38.0
5bb0f8dddc1009b6661754a665d634de3b4d8ebe,16,1,10.1016/j.tics.2020.11.009,1850742,Emily S. Cross,180.0,3764.0,30.0
5bb0f8dddc1009b6661754a665d634de3b4d8ebe,16,1,10.1016/j.tics.2020.11.009,144772502,Richard Ramsey,94.0,1465.0,20.0
a97cdbeabda018a81ea8b3622721b1567afd5ebb,5,0,10.1016/j.tics.2020.09.007,3107309,Jean‐François Bonnefon,198.0,4716.0,29.0
a97cdbeabda018a81ea8b3622721b1567afd5ebb,5,0,10.1016/j.tics.2020.09.007,1705156,I. Rahwan,268.0,8919.0,44.0
67d4b42cc8a35ee8716e9afe9a95c4c8f258478c,21,0,10.1016/j.tics.2020.05.009,66843395,Daniel J. Horschler,18.0,145.0,5.0
67d4b42cc8a35ee8716e9afe9a95c4c8f258478c,21,0,10.1016/j.tics.2020.05.009,2524042,E. MacLean,82.0,2480.0,26.0
67d4b42cc8a35ee8716e9afe9a95c4c8f258478c,21,0,10.1016/j.tics.2020.05.009,47726487,Laurie R Santos,159.0,5833.0,43.0
96290935118aa7d7ce378aa054cb1b63ca670d5e,3,0,10.1016/j.tics.2020.05.002,48083861,Carolyn Parkinson,53.0,1257.0,17.0
96290935118aa7d7ce378aa054cb1b63ca670d5e,3,0,10.1016/j.tics.2020.05.002,1754107088,Meng Du,6.0,107.0,2.0
05a96454a8415e45c867c2e82e1ac4d61eef06be,9,0,10.1016/j.tics.2020.02.005,3975295,T. Panagiotaropoulos,76.0,1618.0,16.0
05a96454a8415e45c867c2e82e1ac4d61eef06be,9,0,10.1016/j.tics.2020.02.005,48858906,A. Dwarakanath,23.0,138.0,6.0
05a96454a8415e45c867c2e82e1ac4d61eef06be,9,0,10.1016/j.tics.2020.02.005,46662552,V. Kapoor,26.0,851.0,9.0
c812f0a37c0bcad366315cf0ee5d124836960f47,84,3,10.1016/j.tics.2019.05.006,32900202,J. Holler,142.0,1897.0,25.0
c812f0a37c0bcad366315cf0ee5d124836960f47,84,3,10.1016/j.tics.2019.05.006,6488514,S. Levinson,322.0,24413.0,68.0
58cc2ad42e3b783129e64272dc24a5456c6f9e72,38,1,10.1016/j.tics.2018.06.008,1891681,Matthias Nau,40.0,262.0,7.0
58cc2ad42e3b783129e64272dc24a5456c6f9e72,38,1,10.1016/j.tics.2018.06.008,3410801,J. Julian,51.0,1689.0,16.0
58cc2ad42e3b783129e64272dc24a5456c6f9e72,38,1,10.1016/j.tics.2018.06.008,48259069,C. Doeller,183.0,5880.0,40.0
1d84480803df8d4f4edd73980e0013c3e8095e4e,16,1,10.1016/j.tics.2018.06.003,2027618,Brandon M. Turner,90.0,2265.0,28.0
1d84480803df8d4f4edd73980e0013c3e8095e4e,16,1,10.1016/j.tics.2018.06.003,118540018,T. Van Zandt,27.0,3326.0,16.0
b78ad747f30e73a05d99ae52b8e2d929f2a98aa3,164,15,10.1016/j.tics.2017.09.006,145587736,G. Wig,54.0,8291.0,28.0
41a53c97f2ac451da4752ff5363f8326e886e312,16,1,10.1016/j.tics.2017.03.001,2408205,E. Robertson,74.0,5494.0,32.0
41a53c97f2ac451da4752ff5363f8326e886e312,16,1,10.1016/j.tics.2017.03.001,4529155,Ádám Takács,61.0,643.0,16.0
e9ceedc32278ff86c316ac7fa05d9e194fc88d67,320,21,10.1016/j.tics.2016.08.005,144002017,Noah D. Goodman,288.0,13683.0,56.0
e9ceedc32278ff86c316ac7fa05d9e194fc88d67,320,21,10.1016/j.tics.2016.08.005,2536223,Michael C. Frank,416.0,13375.0,47.0
a43c46209e447520c0753707baa8c9f12cead7c5,205,8,10.1016/j.tics.2016.07.002,1831734,E. Risko,170.0,4522.0,37.0
a43c46209e447520c0753707baa8c9f12cead7c5,205,8,10.1016/j.tics.2016.07.002,1901108,S. Gilbert,139.0,9359.0,48.0
752fba8a949d2cc7fef30fd4d30e623c3f21b868,126,3,10.1016/j.tics.2016.05.001,1737497,Karl J. Friston,2627.0,244129.0,234.0
752fba8a949d2cc7fef30fd4d30e623c3f21b868,126,3,10.1016/j.tics.2016.05.001,144128278,G. Buzsáki,520.0,100976.0,153.0
